model,year,price,mileage,tax,mpg,engineSize,transmission_Automatic,transmission_Manual,transmission_Other,transmission_Semi-Auto,fuelType_Diesel,fuelType_Electric,fuelType_Hybrid,fuelType_Other,fuelType_Petrol,Make_BMW,Make_Ford,Make_Hyundai,Make_audi,Make_skoda,Make_toyota,Make_vw
95,2015.0,46000.0,20982.0,325.0,29.4,4.0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
13,2018.0,26995.0,15600.0,145.0,50.4,2.0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
13,2019.0,33985.0,5429.0,145.0,47.9,2.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
85,2019.0,30985.0,2710.0,145.0,40.9,1.5,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
88,2019.0,52985.0,6423.0,145.0,33.2,3.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8,2017.0,12698.0,11017.0,150.0,67.3,1.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
86,2017.0,17298.0,16908.0,125.0,51.4,1.4,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
11,2017.0,16498.0,28801.0,125.0,49.6,2.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
11,2017.0,16798.0,23362.0,145.0,50.4,1.4,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
89,2018.0,63985.0,8450.0,145.0,32.8,3.0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
13,2018.0,27985.0,1790.0,145.0,50.4,2.0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
11,2018.0,19485.0,10.0,145.0,53.3,1.4,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
11,2018.0,20985.0,10.0,145.0,52.3,1.4,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
10,2018.0,22285.0,6754.0,145.0,52.3,1.6,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
86,2017.0,15800.0,37203.0,125.0,51.4,1.4,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
86,2014.0,12000.0,79389.0,165.0,50.4,2.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
10,2015.0,13800.0,61808.0,125.0,57.6,2.0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
8,2016.0,11650.0,18900.0,0.0,67.3,1.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
10,2014.0,11850.0,50900.0,20.0,68.9,2.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
88,2020.0,82995.0,826.0,145.0,29.4,4.0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
87,2019.0,34985.0,7573.0,145.0,39.2,2.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
11,2019.0,29985.0,22.0,145.0,38.7,2.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
88,2016.0,29985.0,38654.0,200.0,47.9,3.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
117,2016.0,19485.0,28402.0,30.0,62.8,2.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8,2015.0,13495.0,17152.0,30.0,56.5,1.4,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
10,2016.0,14995.0,29775.0,20.0,60.1,1.4,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
87,2017.0,39995.0,7801.0,145.0,34.0,3.0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
8,2017.0,12495.0,20670.0,30.0,57.6,1.4,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
10,2019.0,24985.0,2257.0,145.0,52.3,1.6,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
12,2014.0,16000.0,75159.0,260.0,34.9,3.0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
